project,age,firstAppeared,firstAppearedIndex,lastDetected,lastDetectedIndex,smellType,uniqueSmellID,version,versionIndex,versionDate,smellIdInVersion,affectedClassesRatio,affectedComponentType,affectedDesignLevel,afferentAffectedRatio,avrgEdgeWeight,avrgInternalPathLength,avrgNumOfChanges,efferentAffectedRatio,instabilityGap,numOfEdges,numOfInheritanceEdges,numOfPrivateUseEdges,numOfPublicUseEdges,overlapRatio,overlapRatiocyclicDep,overlapRatiounstableDep,pageRankAvrg,pageRankMax,parentCentrality,shape,size,strength,affectedElements
antlr,2,3.4,20,3.5,21,cyclicDep,873,3.4,20,,21158,NA,class,designOnly,NA,5.76,NA,0,NA,NA,290,7,0,0,1.0,NA,NA,0.002118926847071343,0.00755659831642333,0,unclassified,10,NA,"[org.stringtemplate.v4.Interpreter, org.stringtemplate.v4.ST, org.stringtemplate.v4.STGroup, org.stringtemplate.v4.STGroup$1, org.stringtemplate.v4.compiler.CompiledST, org.stringtemplate.v4.compiler.Compiler, org.stringtemplate.v4.compiler.Compiler$4, org.stringtemplate.v4.compiler.STLexer, org.stringtemplate.v4.misc.ErrorManager, org.stringtemplate.v4.misc.STRuntimeMessage]"
antlr,2,3.4,20,3.5,21,cyclicDep,873,3.5,21,,21454,NA,class,designOnly,NA,6.0,NA,0,NA,NA,302,7,0,0,1.0,NA,NA,0.0020806499094213594,0.007560271061555735,0,unclassified,10,NA,"[org.stringtemplate.v4.Interpreter, org.stringtemplate.v4.ST, org.stringtemplate.v4.STGroup, org.stringtemplate.v4.STGroup$1, org.stringtemplate.v4.compiler.CompiledST, org.stringtemplate.v4.compiler.Compiler, org.stringtemplate.v4.compiler.Compiler$4, org.stringtemplate.v4.compiler.STLexer, org.stringtemplate.v4.misc.ErrorManager, org.stringtemplate.v4.misc.STRuntimeMessage]"
antlr,1,4.0,22,4.0,22,cyclicDep,1103,4.0,22,,16771,NA,class,designOnly,NA,6.6,NA,0,NA,NA,66,2,0,0,1.0,NA,NA,0.0019262804414100162,0.0034707691253145325,0,unclassified,3,NA,"[org.antlr.v4.Tool, org.antlr.v4.tool.Grammar, org.antlr.v4.tool.GrammarTransformPipeline]"
antlr,3,3.1.3,17,3.3,19,cyclicDep,562,3.1.3,17,,15830,NA,class,designOnly,NA,7.5,NA,0,NA,NA,60,0,0,0,1.0,NA,NA,0.0034699930527372688,0.008758061458040306,0,unclassified,3,NA,"[org.antlr.Tool, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarReport]"
antlr,3,3.1.3,17,3.3,19,cyclicDep,562,3.3,19,,17945,NA,class,designOnly,NA,7.25,NA,0,NA,NA,58,0,0,0,1.0,NA,NA,0.0029134091751603975,0.0073830177360001545,0,unclassified,3,NA,"[org.antlr.Tool, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarReport]"
antlr,3,3.1.3,17,3.3,19,cyclicDep,562,3.2,18,,18034,NA,class,designOnly,NA,7.75,NA,0,NA,NA,62,0,0,0,1.0,NA,NA,0.002936043700639201,0.007412359365808337,0,unclassified,3,NA,"[org.antlr.Tool, org.antlr.tool.ErrorManager, org.antlr.tool.GrammarReport]"
antlr,1,3.3,19,3.3,19,cyclicDep,742,3.3,19,,17063,NA,class,designOnly,NA,6.321428571428571,NA,0,NA,NA,354,7,0,0,1.0,NA,NA,0.0032123518109565398,0.01053262748060404,0,unclassified,9,NA,"[org.antlr.analysis.DFA, org.antlr.analysis.DecisionProbe, org.antlr.analysis.NFAState, org.antlr.tool.Attribute, org.antlr.tool.AttributeScope, org.antlr.tool.ErrorManager, org.antlr.tool.Grammar, org.antlr.tool.GrammarNonDeterminismMessage, org.antlr.tool.NameSpaceChecker]"
antlr,3,3.4,20,4.0,22,unstableDep,889,3.4,20,,25483,NA,package,NA,NA,NA,NA,0,NA,-0.17797202797202794,26,NA,NA,NA,1.0,0.6666666666666666,NA,0.004290765039351759,0.008286462576817049,NA,NA,3,0.22,"[org.antlr.runtime.misc, org.stringtemplate.v4.compiler, org.stringtemplate.v4.misc]"
antlr,3,3.4,20,4.0,22,unstableDep,889,3.5,21,,25701,NA,package,NA,NA,NA,NA,0,NA,-0.15106539867321234,84,NA,NA,NA,1.0,0.75,NA,0.0041307510298642745,0.008286156506416809,NA,NA,4,0.33,"[org.antlr.runtime.misc, org.stringtemplate.v4, org.stringtemplate.v4.compiler, org.stringtemplate.v4.misc]"
antlr,3,3.4,20,4.0,22,unstableDep,889,4.0,22,,19515,NA,package,NA,NA,NA,NA,0,NA,-0.3245816510908437,80,NA,NA,NA,1.0,0.75,NA,0.003562701744719313,0.004727433629907454,NA,NA,4,0.33,"[org.antlr.runtime.misc, org.stringtemplate.v4, org.stringtemplate.v4.compiler, org.stringtemplate.v4.misc]"
antlr,4,3.0,12,3.1.1,15,cyclicDep,152,3.0,12,,6206,NA,package,architecturalOnly,NA,5.5,NA,0,NA,NA,22,0,0,0,1.0,NA,NA,0.06767125004284297,0.07014847743068825,0,tiny,2,NA,"[org.antlr.runtime, org.antlr.runtime.tree]"
